date|time|description|vendor|amount
2022-09-14|14:00:00|Car repair expenses|Auto Service Center|-200.50
2022-11-28|11:55:45|Grocery shopping|Supermarket|-75.00
2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2024-01-14|11:55:45|Grocery shopping|Supermarket|-75.00
2024-01-15|11:55:45|Artwork sale|Gallery|500.00
2024-01-28|15:15:30|Gym membership renewal|Fitness Center|-60.00
2024-02-15|12:30:45|Lunch with coworkers|Cafeteria|-20.50
2024-02-15|12:00:00|Valentine's Day dinner|Romantic Bistro|-150.75
2024-02-20|14:10:25|Freelance work payment|Client A|150.00
2024-03-03|17:45:20|Grocery shopping|Super mart|-75.25
2024-03-09|10:45:20|Coffee and pastry|Café Mocha|-15.25
2024-03-10|15:30:45|Freelance project payment|Client A|300.00
2024-04-21|09:10:35|Medical appointment|City Hospital|-150.00
2024-04-27|11:20:35|Home repairs|Handyman Services|-200.50
2024-04-30|02:14:58|Amazon Gaming Mouse|Amazon|-15.33
2024-05-01|11:55:59|Meow Blanket|Amazon|15.99
2024-05-01|10:13:47|Gaming Mouse|Amazon|200.05
2024-05-01|10:11:48|Mochi Donut|Mochi Mochi Donut|25.00
2024-05-02|12:29:02|Cute Nails|NailLuxe|200.5
2024-05-02|12:47:22|Cute hair|Hair Salon|150.0
2024-05-02|14:12:52|Meow mix|kitty cat|15.66
